episode,side,start_s,end_s,air_s,peak_mm,supported_fraction,next_ground_s
3,right,5.22,5.24,0.02,0.003063652040141696,1.0,1.4000000000000001
3,right,6.640000000000001,6.78,0.14,3.9639740691688004,1.0,0.16
3,right,6.94,7.0200000000000005,0.08,0.7006674332357,1.0,1.1400000000000001
3,right,8.16,8.2,0.04,0.3011593791076,1.0,0.24
3,right,8.44,8.46,0.02,0.2067722288028,1.0,1.36
3,right,9.82,9.92,0.1,1.898621228899,1.0,0.18
3,right,10.1,10.2,0.1,1.9355003938407,1.0,1.1400000000000001
3,right,11.34,11.38,0.04,0.003060181645507705,1.0,0.22
3,right,11.6,11.62,0.02,0.029483065556607305,1.0,0.4
4,left,0.12,0.14,0.02,-0.007050726805173969,1.0,0.76
4,left,0.9,0.92,0.02,0.0005975668429815915,1.0,0.08
4,left,1.0,1.36,0.36,5.796048315426,1.0,1.16
4,left,2.52,2.54,0.02,0.09003993589201242,1.0,0.12
4,left,2.66,2.7,0.04,0.1438536795174,1.0,0.06
4,left,2.76,2.78,0.02,0.01847925695826636,1.0,0.02
4,left,2.8000000000000003,2.84,0.04,0.2141936122684,1.0,0.12
4,left,2.96,3.08,0.12,1.575146489255,1.0,0.98
4,left,4.0600000000000005,4.08,0.02,-0.05979978437968547,1.0,0.06
4,left,4.14,4.16,0.02,-0.029811908839076293,1.0,0.06
4,left,4.22,4.46,0.24,1.2780169415722,1.0,0.04
4,left,4.5,4.5200000000000005,0.02,0.497500900916,1.0,0.04
4,left,4.5600000000000005,4.6000000000000005,0.04,0.1557992581476,1.0,0.26
4,right,1.74,1.94,0.2,6.0125009972814,1.0,0.02
4,right,1.96,2.0,0.04,0.09818139453991476,1.0,0.2
4,right,2.2,2.22,0.02,0.0021779965930137507,1.0,1.16
4,right,3.38,3.42,0.04,0.06114385173232317,1.0,0.14
4,right,3.56,3.62,0.06,1.2281595809371,1.0,0.18
4,right,3.8,3.82,0.02,0.12477711419929999,1.0,1.04
5,left,0.08,0.1,0.02,0.008314238385565996,1.0,0.92
5,left,1.02,1.04,0.02,0.010845470120706031,1.0,0.02
5,left,1.06,1.36,0.3,1.4928766841235,1.0,0.04
5,left,1.4,1.48,0.08,1.0382595521555,1.0,1.02
5,left,2.5,2.9,0.4,1.5176792120807001,1.0,0.06
5,left,2.96,3.06,0.1,2.41054191302,1.0,0.96
5,left,4.0200000000000005,4.24,0.22,3.3443957473947,1.0,0.08
5,left,4.32,4.42,0.1,1.4285248143512999,1.0,0.16
5,left,4.58,4.68,0.1,2.7427679653832002,1.0,0.9400000000000001
5,left,5.62,5.64,0.02,0.010860250592333032,1.0,0.06
5,left,5.7,5.74,0.04,0.1009163775555,1.0,0.02
5,left,5.76,5.8,0.04,0.08371214954156457,1.0,0.06
5,left,5.86,5.98,0.12,0.7772762177661,1.0,0.08
5,left,6.0600000000000005,6.1000000000000005,0.04,1.5983343594358999,1.0,1.1
5,left,7.2,7.22,0.02,0.19267493479109998,1.0,0.02
5,left,7.24,7.26,0.02,0.1456408868479,1.0,0.06
5,left,7.32,7.48,0.16,1.1150409761847,1.0,0.06
5,left,7.54,7.68,0.14,2.7323994013852,1.0,0.1
5,left,7.78,7.8,0.02,-0.09097388003728984,1.0,1.16
5,left,8.96,8.98,0.02,0.20567491606850002,1.0,0.1
5,left,9.08,9.24,0.16,1.223512513328,1.0,0.1
5,left,9.34,9.42,0.08,5.905668591795401,1.0,1.12
5,left,10.54,10.56,0.02,0.49421239683740004,1.0,0.02
5,left,10.58,10.6,0.02,0.00371107167154109,1.0,0.08
5,left,10.68,10.9,0.22,5.593542277173699,1.0,0.1
5,left,11.0,11.08,0.08,3.9087944053415002,1.0,0.9400000000000001
